Date,NFT id,NFT price,NFT name,Username,Action,Marketplace,Wallet id
2024-03-05 13:31:04,2dde664c40,100.0,BlueViolet find 867,lwu,mint,bitsi,0xaa45f7dca5482cba7906cbfae48280d2d5003aa1
2024-03-05 13:31:04,2dde664c40,100.0,BlueViolet find 867,lwu,mint,bitsi,0xaa45f7dca5482cba7906cbfae48280d2d5003aa1
2024-03-05 13:31:04,2dde664c40,100.0,BlueViolet find 867,lwu,mint,bitsi,0xaa45f7dca5482cba7906cbfae48280d2d5003aa1
2024-03-05 13:31:04,2dde664c40,100.0,BlueViolet find 867,lwu,mint,bitsi,0xaa45f7dca5482cba7906cbfae48280d2d5003aa1
2024-03-05 13:31:04,2dde664c40,100.0,BlueViolet find 867,lwu,mint,bitsi,0xaa45f7dca5482cba7906cbfae48280d2d5003aa1
2024-03-05 13:31:21,175af34d0b,100.0,MediumSeaGreen so 955,kthompson,mint,bitsi,0x6d92187b23fc2c477062a22197698499a46a9777
2024-03-05 13:31:21,175af34d0b,100.0,MediumSeaGreen so 955,kthompson,mint,bitsi,0x6d92187b23fc2c477062a22197698499a46a9777
2024-03-05 13:31:21,175af34d0b,100.0,MediumSeaGreen so 955,kthompson,mint,bitsi,0x6d92187b23fc2c477062a22197698499a46a9777
2024-03-05 13:31:21,175af34d0b,100.0,MediumSeaGreen so 955,kthompson,mint,bitsi,0x6d92187b23fc2c477062a22197698499a46a9777
2024-03-05 13:31:21,175af34d0b,100.0,MediumSeaGreen so 955,kthompson,mint,bitsi,0x6d92187b23fc2c477062a22197698499a46a9777
2024-03-05 13:32:26,0bf2882f11,100.0,LightSkyBlue main 146,lortiz,mint,bitsi,0x70b2792a1e61d6b1c6a5c9d94db1a3c943bd5d71
2024-03-05 13:32:26,0bf2882f11,100.0,LightSkyBlue main 146,lortiz,mint,bitsi,0x70b2792a1e61d6b1c6a5c9d94db1a3c943bd5d71
2024-03-05 13:32:26,0bf2882f11,100.0,LightSkyBlue main 146,lortiz,mint,bitsi,0x70b2792a1e61d6b1c6a5c9d94db1a3c943bd5d71
